Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Vada Pinson*,21,CIN,NL,5.6,154,707,652,107,187,37,12,20,61,32,12,47,96,0.287,0.339,0.472,0.811,118,0.379,126,308,11,5,1,1,3,*8,ASASMVP-18,pinsova01
2,Nellie Fox*,32,CHW,AL,4,150,684,605,85,175,24,10,2,59,2,4,50,13,0.289,0.351,0.372,0.723,96,0.343,98,225,11,10,14,5,2,*4/H,ASASMVP-18GG,foxne01
3,Ernie Banks,29,CHC,NL,7.9,156,678,597,94,162,32,7,41,117,1,3,71,69,0.271,0.35,0.554,0.904,146,0.392,144,331,14,4,0,6,28,*6,ASASMVP-4GG,bankser01
4,Bill Bruton*,34,MLN,NL,3.7,151,677,629,112,180,27,13,12,54,22,13,41,97,0.286,0.33,0.428,0.758,114,0.351,119,269,4,2,1,4,1,*8/H,,brutobi01
5,Richie Ashburn*,33,CHC,NL,4.4,151,672,547,99,159,16,5,0,40,16,4,116,50,0.291,0.415,0.338,0.753,112,0.37,123,185,4,1,7,1,1,*87/H,,ashburi01
6,Eddie Mathews*,28,MLN,NL,7.3,153,671,548,108,152,19,7,39,124,7,3,111,113,0.277,0.397,0.551,0.948,166,0.416,166,302,8,2,4,6,3,*5,ASASMVP-10,matheed01
7,Luis Aparicio,26,CHW,AL,5.6,153,670,600,86,166,20,7,2,61,51,8,43,39,0.277,0.323,0.343,0.666,81,0.338,84,206,12,1,20,6,3,*6,ASASMVP-21GG,aparilu01
8,Jim Gilliam#,31,LAD,NL,4.4,151,670,557,96,138,20,2,5,40,12,9,96,28,0.248,0.359,0.318,0.677,83,0.335,94,177,6,3,9,4,1,*54/H,,gilliji01
9,Minnie Miñoso,36,CHW,AL,2.8,154,670,591,89,184,32,4,20,105,17,13,52,63,0.311,0.374,0.481,0.855,130,0.391,135,284,16,13,5,9,2,*7/9,ASASMVP-4GG,minosmi01
10,Willie Mays,29,SFG,NL,9.5,153,669,595,107,190,29,12,29,103,25,10,61,70,0.319,0.381,0.555,0.936,160,0.423,167,330,15,4,0,9,11,*8/H,ASASMVP-3GG,mayswi01
11,Henry Aaron,26,MLN,NL,8,153,664,590,102,172,20,11,40,126,16,7,60,63,0.292,0.352,0.566,0.919,156,0.406,158,334,8,2,0,12,13,*9/84,ASASMVP-11GG,aaronha01
12,Brooks Robinson,23,BAL,AL,4.1,152,651,595,74,175,27,9,14,88,2,2,35,49,0.294,0.329,0.44,0.769,108,0.354,107,262,29,0,13,8,0,*5/4,ASASMVP-3GG,robinbr01
13,Billy Gardner,32,WSH,AL,0.6,145,649,592,71,152,26,5,9,56,0,4,43,76,0.257,0.313,0.363,0.676,81,0.319,81,215,13,6,7,1,0,*46,,gardnbi02
14,Frank Malzone,30,BOS,AL,0.9,152,647,595,60,161,30,2,14,79,2,3,36,42,0.271,0.313,0.398,0.711,89,0.334,90,237,20,4,4,8,4,*5/H,ASAS,malzofr01
15,Mickey Mantle#,28,NYY,AL,6.4,153,644,527,119,145,17,6,40,94,14,3,111,125,0.275,0.399,0.558,0.957,162,0.429,161,294,11,1,0,5,6,*8/H,ASASMVP-2,mantlmi01
16,Bob Skinner*,28,PIT,NL,1.7,145,640,571,83,156,33,6,15,86,11,8,59,86,0.273,0.34,0.431,0.771,109,0.351,110,246,13,1,5,4,11,*7/H,ASAS,skinnbo01
17,Tony Taylor,24,2TM,NL,1.9,146,640,581,80,165,25,7,5,44,26,11,41,98,0.284,0.331,0.377,0.708,95,0.333,96,219,11,3,9,6,2,*4/5H,ASAS,tayloto02
17,Tony Taylor,24,CHC,NL,0.1,19,89,76,14,20,3,3,1,9,2,0,8,12,0.263,0.337,0.421,0.758,109,0.354,110,32,1,1,3,1,0,4,,tayloto02
17,Tony Taylor,24,PHI,NL,1.8,127,551,505,66,145,22,4,4,35,24,11,33,86,0.287,0.33,0.37,0.701,93,0.329,94,187,10,2,6,5,2,*4/5H,,tayloto02
18,Don Hoak,32,PIT,NL,5.4,155,636,553,97,156,24,9,16,79,3,2,74,74,0.282,0.366,0.445,0.81,120,0.381,131,246,17,1,4,4,9,*5/H,MVP-2,hoakdo01
19,Eddie Yost,33,DET,AL,1.8,143,636,497,78,129,23,2,14,47,5,4,125,69,0.26,0.414,0.398,0.812,118,0.388,126,198,11,8,3,3,1,*5/H,,yosted01
20,Bill Tuttle,30,KCA,AL,1.4,151,635,559,75,143,21,3,8,40,1,5,66,52,0.256,0.336,0.347,0.683,85,0.333,92,194,19,2,7,1,2,*8/H,,tuttlbi01
21,Jerry Lumpe*,27,KCA,AL,1.1,146,630,574,69,156,19,3,8,53,1,1,48,49,0.272,0.326,0.357,0.683,85,0.32,81,205,14,0,4,4,1,*46/H,,lumpeje01
22,Dick Groat,29,PIT,NL,6.1,138,629,573,85,186,26,4,2,50,0,2,39,35,0.325,0.371,0.394,0.766,110,0.358,116,226,7,4,12,1,0,*6/H,ASASMVP-1,groatdi01
23,Al Kaline,25,DET,AL,2.5,147,629,551,77,153,29,4,15,68,19,4,65,47,0.278,0.354,0.426,0.781,107,0.373,112,235,18,3,5,5,3,*8/H,ASAS,kalinal01
24,Tito Francona*,26,CLE,AL,3.4,147,625,544,84,159,36,2,17,79,4,1,67,67,0.292,0.372,0.46,0.832,127,0.383,129,250,11,5,3,5,7,*73/H9,,francti01
25,Vic Power,32,CLE,AL,2,147,625,580,69,167,26,3,10,84,9,5,24,20,0.288,0.313,0.395,0.707,93,0.33,92,229,12,0,14,7,5,*3/65,ASASMVP-18GG,powervi01
26,Roberto Clemente,25,PIT,NL,4,144,620,570,89,179,22,6,16,94,4,5,39,72,0.314,0.357,0.458,0.815,121,0.375,127,261,21,2,4,5,4,*9/H,ASASMVP-8,clemero01
27,Tony Kubek*,24,NYY,AL,3.8,147,618,568,77,155,25,3,14,62,3,0,31,42,0.273,0.312,0.401,0.713,96,0.332,93,228,13,3,12,4,5,*67/H89,MVP-11,kubekto01
28,Ken Boyer,29,STL,NL,6.8,151,616,552,95,168,26,10,32,97,8,7,56,77,0.304,0.37,0.562,0.932,144,0.416,151,310,13,4,0,4,10,*5/H,ASASMVP-6GG,boyerke01
29,Rocky Colavito,26,DET,AL,1.1,145,616,555,67,138,18,1,35,87,3,6,53,80,0.249,0.317,0.474,0.791,108,0.354,104,263,17,4,1,3,4,*9/H,,colavro01
30,Orlando Cepeda,22,SFG,NL,4.3,151,615,569,81,169,36,3,24,96,15,6,34,91,0.297,0.343,0.497,0.84,134,0.385,140,283,11,8,0,4,9,73/H,ASAS,cepedor01
31,Pete Runnels*,32,BOS,AL,4.7,143,613,528,80,169,29,2,2,35,5,2,71,51,0.32,0.401,0.394,0.795,114,0.386,126,208,16,2,9,3,2,*43/5H,ASASMVP-17,runnepe01
32,Jim Lemon,32,WSH,AL,2.1,148,612,528,81,142,10,1,38,100,2,0,67,114,0.269,0.354,0.508,0.861,129,0.388,128,268,9,7,0,9,8,*7/H,ASASMVP-10,lemonji01
33,Ron Hansen,22,BAL,AL,3.9,153,606,530,72,135,22,5,22,86,3,3,69,94,0.255,0.342,0.44,0.781,111,0.362,113,233,18,2,1,2,5,*6/H,ASASMVP-5ROY-1,hansero02
34,Bill White*,26,STL,NL,2.2,144,606,554,81,157,27,10,16,79,12,6,42,83,0.283,0.334,0.455,0.789,107,0.358,107,252,9,2,5,3,1,*38/H7,ASASGG,whitebi03
35,Bob Allison,25,WSH,AL,2.4,144,605,501,79,126,30,3,15,69,11,9,92,94,0.251,0.367,0.413,0.78,110,0.367,115,207,14,2,5,4,4,*9/8H3,,allisbo01
36,Norm Siebern*,26,KCA,AL,2.3,144,604,520,69,145,31,6,19,69,0,0,72,68,0.279,0.366,0.471,0.837,125,0.387,128,245,9,2,4,4,6,73/H,,siebeno01
37,Del Crandall,30,MLN,NL,4.6,142,596,537,81,158,14,1,19,77,4,6,34,36,0.294,0.334,0.43,0.764,115,0.352,122,231,15,4,9,12,6,*2/H,ASASMVP-13GG,crandde01
38,Al Smith,32,CHW,AL,1.9,142,596,536,80,169,31,3,12,72,8,3,50,65,0.315,0.374,0.451,0.826,123,0.382,125,242,18,3,2,4,3,*9/87H,ASASMVP-6,smithal04
39,Daryl Spencer,31,STL,NL,2.6,148,596,507,70,131,20,3,16,58,1,1,81,74,0.258,0.365,0.404,0.769,104,0.362,110,205,15,5,1,2,7,*64/H,,spencda01
40,Marv Breeding,26,BAL,AL,2.4,152,594,551,69,147,25,2,3,43,10,4,35,80,0.267,0.313,0.336,0.648,77,0.314,77,185,8,3,2,3,2,*4/H,,breedma01
41,Jim Landis,26,CHW,AL,3.1,148,594,494,89,125,25,6,10,49,23,6,80,84,0.253,0.365,0.389,0.753,105,0.362,108,192,7,9,7,4,4,*8/H,GG,landiji01
42,Bill Mazeroski,23,PIT,NL,2.5,151,591,538,58,147,21,5,11,64,4,0,40,50,0.273,0.32,0.392,0.712,94,0.321,85,211,9,1,4,8,15,*4/H,ASASGG,mazerbi01
43,Frank Bolling,28,DET,AL,0.6,139,585,536,64,136,20,4,9,59,7,4,40,48,0.254,0.308,0.356,0.664,77,0.32,77,191,10,2,6,0,2,*4/H,,bollifr01
44,Bill Skowron,29,NYY,AL,4.6,146,584,538,63,166,34,3,26,91,2,3,38,95,0.309,0.353,0.528,0.881,141,0.402,146,284,17,2,0,6,2,*3/H,ASASMVP-9,skowrbi01
45,Don Blasingame*,28,SFG,NL,1.5,136,583,523,72,123,12,8,2,31,14,2,49,53,0.235,0.302,0.3,0.602,71,0.303,79,157,4,2,7,2,1,*4/H,,blasido01
46,Roger Maris*,25,NYY,AL,7.5,136,578,499,98,141,18,7,39,112,2,2,70,65,0.283,0.371,0.581,0.952,160,0.428,163,290,6,3,1,5,4,*9/8H,ASASMVP-1GG,marisro01
47,Pancho Herrera,26,PHI,NL,1.6,145,575,512,61,144,26,6,17,71,2,3,51,136,0.281,0.348,0.455,0.803,119,0.362,120,233,17,5,0,7,6,*34/H,MVP-23ROY-2,herrepa01
48,Joe Adcock,32,MLN,NL,3.7,138,570,514,55,153,21,4,25,91,2,2,46,86,0.298,0.354,0.5,0.854,140,0.38,140,257,13,1,5,4,7,*3/H,ASASMVP-19,adcocjo01
49,Jackie Brandt,26,BAL,AL,0.9,145,570,511,73,130,24,6,15,65,5,3,47,69,0.254,0.317,0.413,0.73,98,0.344,99,211,7,3,3,6,3,*897/H53,,brandja01
50,Willie Kirkland*,26,SFG,NL,3.1,146,567,515,59,130,21,10,21,65,12,7,44,86,0.252,0.315,0.454,0.769,114,0.347,114,234,4,4,2,2,8,*9/H7,,kirklwi01
51,Joe Cunningham*,28,STL,NL,1.1,139,563,492,68,138,28,3,6,39,1,7,59,59,0.28,0.363,0.386,0.749,99,0.346,103,190,8,6,3,3,4,*93H,,cunnijo01
52,Frank Robinson,24,CIN,NL,6.2,139,562,464,86,138,33,6,31,83,13,6,82,67,0.297,0.407,0.595,1.002,169,0.446,177,276,18,9,0,7,6,37H/5,MVP-20,robinfr02
53,Maury Wills#,27,LAD,NL,2.5,148,559,516,75,152,15,2,0,27,50,12,35,47,0.295,0.342,0.331,0.673,81,0.332,81,171,11,3,3,2,8,*6/H,MVP-17,willsma01
54,Gus Bell*,31,CIN,NL,0.4,143,554,515,65,135,19,5,12,62,4,3,29,40,0.262,0.3,0.388,0.688,86,0.316,84,200,7,1,4,5,3,*97H/8,,bellgu01
55,Charlie Maxwell*,33,DET,AL,1.9,134,549,482,70,114,16,5,24,81,5,0,58,75,0.237,0.325,0.44,0.765,102,0.357,101,212,4,6,1,2,6,*7H,MVP-28,maxwech01
56,Wally Moon*,30,LAD,NL,3.8,138,547,469,74,140,21,6,13,69,6,10,67,53,0.299,0.383,0.452,0.835,123,0.375,126,212,21,1,4,6,4,*79H,GG,moonwa01
57,Charlie Neal,29,LAD,NL,0.3,139,547,477,60,122,23,2,8,40,5,5,48,75,0.256,0.321,0.363,0.684,83,0.323,85,173,18,1,14,7,2,*4/6H,ASAS,nealch01
58,Willie Tasby,27,2TM,AL,-0.1,144,546,470,77,126,19,2,7,40,4,1,60,66,0.268,0.358,0.362,0.719,94,0.344,95,170,11,6,8,1,1,*897H,,tasbywi01
58,Willie Tasby,27,BAL,AL,-0.4,39,97,85,9,18,2,1,0,3,1,0,9,12,0.212,0.295,0.259,0.554,52,0.264,39,22,2,1,1,0,1,97/8H,,tasbywi01
58,Willie Tasby,27,BOS,AL,0.3,105,449,385,68,108,17,1,7,37,3,1,51,54,0.281,0.371,0.384,0.755,103,0.361,107,148,9,5,7,1,0,8/H,,tasbywi01
59,Eddie Kasko,29,CIN,NL,3.6,126,537,479,56,140,21,1,6,51,9,9,46,37,0.292,0.359,0.378,0.737,101,0.347,108,181,9,6,2,4,0,546/H,,kaskoed01
60,Harvey Kuenn,29,CLE,AL,2.4,126,537,474,65,146,24,0,9,54,3,0,55,25,0.308,0.379,0.416,0.795,118,0.377,123,197,10,1,4,3,6,*9/5H78,ASASMVP-24,kuennha01
61,Johnny Logan,34,MLN,NL,1.5,136,537,482,52,118,14,4,7,42,1,1,43,40,0.245,0.309,0.334,0.643,83,0.3,81,161,10,2,9,1,6,*6,,loganjo01
62,Bob Will*,28,CHC,NL,0.6,138,534,475,58,121,20,9,6,53,1,5,47,54,0.255,0.321,0.373,0.694,92,0.321,93,177,10,1,8,3,3,*9H/7,,willbo01
63,Earl Battey,25,WSH,AL,3.2,137,530,466,49,126,24,2,15,60,4,5,48,68,0.27,0.346,0.427,0.773,107,0.356,107,199,15,8,4,4,5,*2/H,MVP-8GG,batteea01
64,Gene Woodling*,37,BAL,AL,3.1,140,529,435,68,123,18,3,11,62,3,0,84,40,0.283,0.401,0.414,0.815,123,0.384,127,180,5,4,3,3,7,*7H/9,MVP-24,woodlge01
65,Roy Sievers,33,CHW,AL,3.6,127,525,444,87,131,22,0,28,93,1,1,74,69,0.295,0.396,0.534,0.93,150,0.425,156,237,13,3,0,4,8,*3H/7,MVP-7,sievero01
66,Ken Aspromonte,28,2TM,AL,2.6,121,524,462,65,133,20,1,10,48,4,1,53,33,0.288,0.362,0.4,0.762,109,0.37,119,185,11,2,4,3,0,45/H,,asproke01
66,Ken Aspromonte,28,WSH,AL,,4,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-152,0,0,0,0,0,0,/H,,asproke01
66,Ken Aspromonte,28,CLE,AL,2.6,117,521,459,65,133,20,1,10,48,4,1,53,32,0.29,0.364,0.403,0.767,111,0.372,120,185,11,2,4,3,0,45/H,,asproke01
67,Jim Piersall,30,CLE,AL,3.2,138,523,486,70,137,12,4,18,66,18,5,24,38,0.282,0.313,0.434,0.747,103,0.347,102,211,17,0,8,4,3,*8/7H9,MVP-28,piersji01
68,Harmon Killebrew,24,WSH,AL,3.1,124,518,442,84,122,19,1,31,80,1,0,71,106,0.276,0.375,0.534,0.909,142,0.414,146,236,10,1,0,3,3,35/H,,killeha01
69,Ed Bailey*,29,CIN,NL,3.3,133,511,441,52,115,19,3,13,67,1,0,59,70,0.261,0.346,0.406,0.752,104,0.342,101,179,9,2,1,7,9,*2/H,ASAS,baileed01
70,Reno Bertoia,25,WSH,AL,0.2,121,511,460,44,122,17,7,4,45,3,5,26,58,0.265,0.313,0.359,0.672,80,0.314,77,165,11,8,13,4,2,*54/H,,bertore01
71,Frank Thomas,31,CHC,NL,-0.6,135,509,479,54,114,12,1,21,64,1,0,28,74,0.238,0.28,0.399,0.678,85,0.315,86,191,12,0,1,1,4,375H/9,,thomafr03
72,Bobby Richardson,24,NYY,AL,0.7,150,507,460,45,116,12,3,1,26,6,6,35,19,0.252,0.303,0.298,0.601,67,0.296,71,137,7,0,9,3,6,*45/H,,richabo01
73,Gene Freese,26,CHW,AL,2.6,127,501,455,60,124,32,6,17,79,10,6,29,65,0.273,0.312,0.481,0.794,112,0.363,112,219,15,1,8,8,2,*5/H,,freesge02
74,Don Buddin,26,BOS,AL,-0.1,124,500,428,62,105,21,5,6,36,4,2,62,59,0.245,0.338,0.36,0.698,87,0.332,88,154,14,1,3,6,5,*6/H,,buddido01
75,Chico Fernández,28,DET,AL,0,133,497,435,44,105,13,3,4,35,13,4,39,50,0.241,0.303,0.313,0.616,65,0.292,55,136,16,1,19,3,4,*6/H,,fernach01
76,Norm Larker*,29,LAD,NL,2.7,133,493,440,56,142,26,3,5,78,1,0,36,24,0.323,0.368,0.43,0.798,113,0.368,116,189,9,1,7,9,2,*3H/7,ASASMVP-15,larkeno01
77,Julián Javier,23,STL,NL,0.5,119,488,451,55,107,19,8,4,21,19,4,21,72,0.237,0.273,0.341,0.614,62,0.3,60,154,7,1,15,0,1,*4,,javieju01
78,Vic Wertz*,35,BOS,AL,0.7,131,488,443,45,125,22,0,19,103,0,2,37,54,0.282,0.335,0.46,0.796,111,0.362,109,204,13,1,1,5,4,*3H,MVP-14,wertzvi01
79,Frank Howard,23,LAD,NL,1.9,117,487,448,54,120,15,2,23,77,0,1,32,108,0.268,0.32,0.464,0.784,107,0.351,105,208,8,3,2,2,1,*97/3H,ROY-1,howarfr01
80,Sherm Lollar,35,CHW,AL,1.5,129,484,421,43,106,23,0,7,46,2,0,42,39,0.252,0.326,0.356,0.682,85,0.324,82,150,22,8,5,8,3,*2/H,ASAS,lollash01
81,Ken Hamlin,25,KCA,AL,-2.6,140,483,428,51,96,10,2,2,24,1,1,44,48,0.224,0.297,0.271,0.568,55,0.282,53,116,13,1,8,2,1,*6/H,,hamlike01
82,Dick Stuart,27,PIT,NL,0.7,122,483,438,48,114,17,5,23,83,0,0,39,107,0.26,0.317,0.479,0.797,114,0.352,109,210,15,0,1,5,5,*3H,,stuardi01
83,Héctor López,30,NYY,AL,1.8,131,469,408,66,116,14,6,9,42,1,1,46,64,0.284,0.361,0.414,0.775,114,0.367,120,169,7,4,9,2,0,*7H9/45,,lopezhe01
84,Dick Williams,31,KCA,AL,2.4,127,466,420,47,121,31,0,12,65,0,0,39,68,0.288,0.346,0.448,0.794,113,0.362,109,188,16,1,1,5,3,537H,,willidi02
85,Jim Gentile*,26,BAL,AL,3.1,138,464,384,67,112,17,0,21,98,0,0,68,72,0.292,0.403,0.5,0.903,145,0.408,145,192,8,7,0,5,5,*3H,ASASMVP-15ROY-2,gentiji01
86,Bill Virdon*,29,PIT,NL,3.1,120,454,409,60,108,16,9,8,40,8,2,40,44,0.264,0.326,0.406,0.732,99,0.343,102,166,4,0,0,5,2,*8H,,virdobi01
87,Ken Walters,26,PHI,NL,-0.4,124,451,426,42,102,10,0,8,37,4,3,16,50,0.239,0.266,0.319,0.585,61,0.271,54,136,11,1,4,4,3,*9H/78,,walteke01
88,Roy McMillan,30,CIN,NL,1.6,124,449,399,42,94,12,2,10,42,2,0,35,40,0.236,0.301,0.351,0.652,77,0.314,79,140,10,4,6,4,5,*64/H,,mcmilro01
89,Curt Flood,22,STL,NL,-0.1,140,443,396,37,94,20,1,8,38,0,3,35,54,0.237,0.303,0.354,0.656,74,0.298,66,140,12,4,4,4,7,*8H/75,,floodcu01
90,Eddie Bressoud,28,SFG,NL,1.8,116,432,386,37,87,19,6,9,43,1,2,35,72,0.225,0.29,0.376,0.665,86,0.304,83,145,10,2,3,5,12,*6/H,,bressed01
91,Clete Boyer,23,NYY,AL,2.5,124,431,393,54,95,20,1,14,46,2,3,23,85,0.242,0.285,0.405,0.69,89,0.317,86,159,7,3,7,5,1,56/H,,boyercl02
92,Woodie Held,28,CLE,AL,3.9,109,430,376,45,97,15,1,21,67,0,1,44,73,0.258,0.342,0.471,0.813,121,0.37,120,177,5,5,3,2,5,*6,,heldwo01
93,Norm Cash*,26,DET,AL,2.9,121,428,353,64,101,16,3,18,63,4,2,65,58,0.286,0.402,0.501,0.903,140,0.415,144,177,0,6,0,4,1,3H/79,,cashno01
94,Ed Bouchee*,27,2TM,NL,-0.1,120,428,364,34,88,15,1,5,52,2,0,54,62,0.242,0.339,0.33,0.668,86,0.314,84,120,4,3,0,7,6,3H,,bouched01
94,Ed Bouchee*,27,PHI,NL,0,22,76,65,1,17,4,0,0,8,0,0,9,11,0.262,0.355,0.323,0.678,89,0.33,96,21,1,1,0,1,2,3/H,,bouched01
94,Ed Bouchee*,27,CHC,NL,-0.1,98,352,299,33,71,11,1,5,44,2,0,45,51,0.237,0.335,0.331,0.666,85,0.31,81,99,3,2,0,6,4,3H,,bouched01
95,Johnny Temple,32,CLE,AL,0.2,98,425,381,50,102,13,1,2,19,11,5,32,20,0.268,0.326,0.323,0.649,79,0.322,85,123,8,1,11,0,0,45/H,,templjo01
96,Gus Triandos,29,BAL,AL,1.5,109,413,364,36,98,18,0,12,54,0,0,41,62,0.269,0.343,0.418,0.761,106,0.361,111,152,11,1,5,2,5,*2/H,,triangu01
97,Jim Davenport,26,SFG,NL,1.1,112,405,363,43,91,15,3,6,38,0,2,26,58,0.251,0.306,0.358,0.664,87,0.307,85,130,8,4,9,2,1,5H/6,,davenji01
98,Yogi Berra*,35,NYY,AL,2.2,120,404,359,46,99,14,1,15,62,2,1,38,23,0.276,0.347,0.446,0.792,118,0.363,118,160,11,3,0,4,6,2H79,ASASMVP-15,berrayo01
99,Don Zimmer,29,CHC,NL,1.2,132,402,368,37,95,16,7,6,35,8,6,27,56,0.258,0.307,0.389,0.696,91,0.309,83,143,9,0,5,2,4,45H/67,,zimmedo01
100,Ted Williams*,41,BOS,AL,3.1,113,390,310,56,98,15,0,29,72,1,1,75,41,0.316,0.451,0.645,1.096,190,0.474,189,200,7,3,0,2,7,7H,ASASMVP-13,willite01
101,Lenny Green*,27,WSH,AL,1.9,127,387,330,62,97,16,7,5,33,21,8,43,25,0.294,0.383,0.43,0.814,119,0.378,121,142,5,6,6,2,4,8H7,,greenle01
102,Gil McDougald,32,NYY,AL,3.1,119,387,337,54,87,16,4,8,34,2,4,38,45,0.258,0.337,0.401,0.737,104,0.343,106,135,4,3,7,2,0,54H,,mcdougi01
103,Ron Santo,20,CHC,NL,0.9,95,382,347,44,87,24,2,9,44,0,3,31,44,0.251,0.311,0.409,0.72,97,0.334,103,142,9,0,2,2,5,5/H,ROY-4,santoro01
104,Russ Nixon*,25,2TM,AL,0.6,105,382,354,30,101,22,3,6,39,0,2,19,29,0.285,0.324,0.415,0.739,98,0.331,89,147,13,2,5,2,5,2H,,nixonru01
104,Russ Nixon*,25,CLE,AL,0.1,25,92,82,6,20,5,0,1,6,0,1,6,6,0.244,0.308,0.341,0.649,78,0.285,62,28,3,2,1,1,2,2/H,,nixonru01
104,Russ Nixon*,25,BOS,AL,0.5,80,290,272,24,81,17,3,5,33,0,1,13,23,0.298,0.329,0.438,0.766,104,0.345,97,119,10,0,4,1,3,2H,,nixonru01
105,Andy Carey,28,2TM,AL,0.3,106,379,346,31,81,14,4,12,54,0,0,26,53,0.234,0.287,0.402,0.689,84,0.328,85,139,16,1,3,3,0,5H/7,,careyan01
105,Andy Carey,28,NYY,AL,0,4,3,3,1,1,0,0,0,1,0,0,0,1,0.333,0.333,0.333,0.667,86,0.307,76,1,0,0,0,0,0,/5H7,,careyan01
105,Andy Carey,28,KCA,AL,0.3,102,376,343,30,80,14,4,12,53,0,0,26,52,0.233,0.287,0.402,0.689,84,0.328,85,138,16,1,3,3,0,5H,,careyan01
106,Stan Musial*,39,STL,NL,1.9,116,378,331,49,91,17,1,17,63,1,1,41,34,0.275,0.354,0.486,0.841,121,0.377,122,161,5,2,0,4,7,7H3/9,ASASMVP-16,musiast01
107,Smoky Burgess*,33,PIT,NL,3.3,110,376,337,33,99,15,2,7,39,0,1,35,13,0.294,0.356,0.412,0.769,110,0.358,115,139,6,0,0,4,12,2H,ASASMVP-20,burgesm01
108,Bob Schmidt,27,SFG,NL,0.5,110,375,344,31,92,12,1,8,37,0,3,26,51,0.267,0.317,0.378,0.695,95,0.321,98,130,8,0,3,2,4,*2/H,,schmibo02
109,Tommy Davis,21,LAD,NL,2.3,110,374,352,43,97,18,1,11,44,6,2,13,35,0.276,0.302,0.426,0.728,93,0.341,96,150,6,2,3,4,2,8H79/5,ROY-5,davisto02
110,Wally Post,30,2TM,NL,2.6,111,374,333,47,94,20,1,19,50,0,2,37,75,0.282,0.35,0.52,0.87,134,0.383,135,173,12,0,0,4,4,79H,,postwa01
